Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.05     0.00   343541     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.05     0.00   343541     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.05     0.00   300000     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr() const
  0.00      0.05     0.00   300000     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr() const
  0.00      0.05     0.00   300000     0.00     0.00  std::_List_node<int>::_M_valptr() const
  0.00      0.05     0.00   300000     0.00     0.00  std::_List_const_iterator<int>::operator*() const
  0.00      0.05     0.00   300000     0.00     0.00  std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::operator[](unsigned long) const
  0.00      0.05     0.00   300000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::end() const
  0.00      0.05     0.00   300000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::begin() const
  0.00      0.05     0.00   300000     0.00     0.00  std::_List_const_iterator<int>::operator++()
  0.00      0.05     0.00   284900     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00      0.05     0.00   283352     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  0.00      0.05     0.00   283292     0.00     0.00  __gnu_cxx::__normal_iterator<int const*, std::vector<int, std::allocator<int> > >::__normal_iterator(int const* const&)
  0.00      0.05     0.00   272717     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      0.05     0.00   272717     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      0.05     0.00   272717     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.05     0.00   272717     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.05     0.00   272717     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.05     0.00   272717     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      0.05     0.00   272717     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.05     0.00   272717     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.05     0.00   262142     0.00     0.00  std::remove_reference<std::_Vector_base<int, std::allocator<int> >::_Vector_impl&>::type&& std::move<std::_Vector_base<int, std::allocator<int> >::_Vector_impl&>(std::_Vector_base<int, std::allocator<int> >::_Vector_impl&)
  0.00      0.05     0.00   262142     0.00     0.00  std::vector<int, std::allocator<int> >&& std::forward<std::vector<int, std::allocator<int> > >(std::remove_reference<std::vector<int, std::allocator<int> > >::type&)
  0.00      0.05     0.00   212499     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator() const
  0.00      0.05     0.00   200000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::deallocate(std::_List_node<int>*, unsigned long)
  0.00      0.05     0.00   200000     0.00     0.00  void __gnu_cxx::new_allocator<std::_List_node<int> >::destroy<int>(int*)
  0.00      0.05     0.00   200000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::allocate(unsigned long, void const*)
  0.00      0.05     0.00   200000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::new_allocator()
  0.00      0.05     0.00   200000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::~new_allocator()
  0.00      0.05     0.00   200000     0.00     0.00  void __gnu_cxx::new_allocator<int>::construct<int, int const&>(int*, int const&)
  0.00      0.05     0.00   200000     0.00     0.00  __gnu_cxx::new_allocator<std::_List_node<int> >::_M_max_size() const
  0.00      0.05     0.00   200000     0.00     0.00  std::allocator<std::_List_node<int> >::allocator()
  0.00      0.05     0.00   200000     0.00     0.00  std::allocator<std::_List_node<int> >::~allocator()
  0.00      0.05     0.00   200000     0.00     0.00  std::_Bit_reference::operator=(bool)
  0.00      0.05     0.00   200000     0.00     0.00  std::_List_iterator<int>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.05     0.00   200000     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::__allocated_ptr(std::allocator<std::_List_node<int> >&, std::_List_node<int>*)
  0.00      0.05     0.00   200000     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::~__allocated_ptr()
  0.00      0.05     0.00   200000     0.00     0.00  std::__allocated_ptr<std::allocator<std::_List_node<int> > >::operator=(decltype(nullptr))
  0.00      0.05     0.00   200000     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<int> > >::deallocate(std::allocator<std::_List_node<int> >&, std::_List_node<int>*, unsigned long)
  0.00      0.05     0.00   200000     0.00     0.00  void std::allocator_traits<std::allocator<std::_List_node<int> > >::destroy<int>(std::allocator<std::_List_node<int> >&, int*)
  0.00      0.05     0.00   200000     0.00     0.00  std::allocator_traits<std::allocator<std::_List_node<int> > >::allocate(std::allocator<std::_List_node<int> >&, unsigned long)
  0.00      0.05     0.00   200000     0.00     0.00  void std::allocator_traits<std::allocator<int> >::construct<int, int const&>(std::allocator<int>&, int*, int const&)
  0.00      0.05     0.00   200000     0.00     0.00  std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::operator[](unsigned long)
